date,year,month,day,day_of_year,weekday,week,season,is_winter,is_spring,is_summer,is_autumn,month_sin,month_cos,days_since_season_start,is_transition_period,food_scarcity_index,food_abundance_index,bat_landing_number,bat_landing_number_rolling_7d,bat_landing_number_std_7d,bat_landing_number_rolling_14d,bat_landing_number_std_14d,bat_landing_number_rolling_30d,bat_landing_number_std_30d,has_bat_landing_number,days_since_last_bat_landing_number,bat_landing_number_frequency,winter_encounters,spring_encounters,scarcity_encounter_ratio,abundance_encounter_product,prev_month_encounters,prev_season_effect,winter_rolling_encounters,rat_arrival_number,rat_arrival_number_rolling_7d,rat_arrival_number_std_7d,rat_arrival_number_rolling_14d,rat_arrival_number_std_14d,rat_arrival_number_rolling_30d,rat_arrival_number_std_30d,has_rat_arrival_number,days_since_last_rat_arrival_number,rat_arrival_number_frequency,winter_encounters,spring_encounters,scarcity_encounter_ratio,abundance_encounter_product,prev_month_encounters,prev_season_effect,winter_rolling_encounters
2018-04-12 05:37:00,2018,4,12,102,3,15,autumn,0,0,0,1,0.8660254037844387,-0.4999999999999998,42,0,0.6,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,low,0,0,0.0,0.0,0.0,0.5,0.0,2,2.0,0.0,2.0,0.0,2.0,0.0,1,0,high,0,0,0.0,0.0,0.0,0.5,0.0
2018-04-16 06:40:00,2018,4,16,106,0,16,autumn,0,0,0,1,0.8660254037844387,-0.4999999999999998,46,0,0.6,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,low,0,0,0.0,0.0,0.0,0.5,0.0,1,1.5,0.7071067811865476,1.5,0.7071067811865476,1.5,0.7071067811865476,1,0,medium,0,0,0.0,0.0,0.0,0.5,0.0
2018-04-29 05:19:00,2018,4,29,119,6,17,autumn,0,0,0,1,0.8660254037844387,-0.4999999999999998,59,0,0.6,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,low,0,0,0.0,0.0,0.0,0.5,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,12,low,0,0,0.0,0.0,0.0,0.5,0.0
2018-05-03 04:51:00,2018,5,3,123,3,18,autumn,0,0,0,1,0.49999999999999994,-0.8660254037844387,63,0,0.6,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,low,0,0,0.0,0.0,0.0,0.5,0.0,0,0.75,0.9574271077563381,0.75,0.9574271077563381,0.75,0.9574271077563381,0,16,low,0,0,0.0,0.0,0.0,0.5,0.0
2018-05-03 17:22:00,2018,5,3,123,3,18,autumn,0,0,0,1,0.49999999999999994,-0.8660254037844387,63,0,0.6,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,low,0,0,0.0,0.0,0.0,0.5,0.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1,0,high,0,0,0.0,0.0,0.0,0.5,0.0
2017-12-29 15:15:00,2017,12,29,363,4,52,summer,0,0,1,0,-2.4492935982947064e-16,1.0,28,0,0.4,0.6,1,1.0,0.0,1.0,0.0,1.0,0.0,1,0,low,0,0,2.499993750015625,0.6,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,low,0,0,2.499993750015625,0.6,0.0,0.5,0.0
2017-12-29 15:45:00,2017,12,29,363,4,52,summer,0,0,1,0,-2.4492935982947064e-16,1.0,28,0,0.4,0.6,1,1.0,0.0,1.0,0.0,1.0,0.0,1,0,low,0,0,2.499993750015625,0.6,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,low,0,0,2.499993750015625,0.6,0.0,0.5,0.0
2017-12-30 06:15:00,2017,12,30,364,5,52,summer,0,0,1,0,-2.4492935982947064e-16,1.0,29,0,0.4,0.6,1,1.0,0.0,1.0,0.0,1.0,0.0,1,0,low,0,0,2.499993750015625,0.6,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,low,0,0,2.499993750015625,0.6,0.0,0.5,0.0
2017-12-31 15:46:00,2017,12,31,365,6,52,summer,0,0,1,0,-2.4492935982947064e-16,1.0,30,0,0.4,0.6,1,1.0,0.0,1.0,0.0,1.0,0.0,1,0,low,0,0,2.499993750015625,0.6,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,low,0,0,2.499993750015625,0.6,0.0,0.5,0.0
2018-01-02 04:47:00,2018,1,2,2,1,1,summer,0,0,1,0,0.49999999999999994,0.8660254037844387,32,0,0.4,0.6,1,1.0,0.0,1.0,0.0,1.0,0.0,1,0,low,0,0,2.499993750015625,0.6,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,low,0,0,2.499993750015625,0.6,0.0,0.5,0.0
